0,Quest #Id39I9k232,30,21,36,3/6,0/3/10/12/16/18
1,Quest #Ikiw1L1i91,30,24,20,3/7,2/8/9/13/15/18
2,Quest #19dk4Hu21j,30,19,46,3/8,2/7/9/12/16/17
3,Quest #W8qjzPklcz,30,15,25,3/9,1/6/11/14/16/17
4,Quest #Zazz1O82j1,30,9,38,5/7,1/5/11/12/16/18
5,Quest #Ie224J1811,30,13,13,5/11,1/3/11/14/15/18
6,Quest #J1811L0JKJ,30,25,32,4/6,0/7/9/14/16/18
7,Quest #KL21zW8qjz,30,17,3,4/8,0/5/10/12/15/18
8,Quest #nzIy2Zazz1,30,0,35,4/9,0/3/10/14/16/17
9,Quest #Ikiw1Ie224,30,21,11,6/10,1/7/11/14/15/18
10,Quest #L1i91Ubfe1,30,12,45,6/8,0/6/9/14/16/18
11,Quest #Hu21jLghi4,30,33,50,3/10,1/4/9/13/15/18
12,Quest #PklczUr384,60,28,49,3/11,1/8/9/13/15/18
13,Quest #O82j183Kiw,60,19,24,7/10,2/5/11/12/16/17
14,Quest #J1811jrt0w,60,17,12,6/10,2/4/9/14/15/18
15,Quest #L0JKJwIMG9,60,23,24,7/11,2/7/9/14/16/17
16,Quest #W8qjz852jz,60,32,14,8/11,0/3/10/14/15/18
17,Quest #Zazz1823i2,60,2,15,4/6,2/4/11/12/15/18
18,Quest #Ie224ghoE1,60,36,41,4/8,2/3/10/14/15/18
19,Quest #Ubfe1Oe124,60,27,15,4/9,2/8/11/12/16/17
20,Quest #Lghi4Ubfe1,60,24,40,6/6,0/6/11/12/16/18
21,Quest #Ur384Ubfe1,60,35,26,3/10,1/5/10/14/15/17
22,Quest #83KiwLghi4,60,22,31,3/11,0/5/9/12/16/17
23,Quest #jrt0wUr384,60,11,13,9/10,0/8/11/14/15/17
24,Quest #wIMG983Kiw,60,21,21,9/10,0/7/9/12/15/17
25,Quest #852jzjrt0w,60,11,4,9/11,2/6/10/12/15/17
26,Quest #823i2Ur384,60,24,12,10/11,2/5/10/13/16/17
27,Quest #ghoE183Kiw,60,4,17,4/6,0/5/9/14/16/17
28,Quest #Oe124jrt0w,60,9,12,4/8,1/6/11/12/15/17
